id,fecha,usuario,texto
2007602843155607672,2026-01-03 23:59:51+00:00,SebastianS82,@GordoEdicion Nadie mejor que ellos saben lo que pasaron y acá tenes que ver a los que defienden a maduro que nunca pisaron Venezuela
2007602842971103268,2026-01-03 23:59:51+00:00,Moises1023104,@TrumpTruthOnX Gracias por liberarnos del Narcodictador. Trump debe corregir que dijo que Maria Corina no inspiraba confianza. Solo los asesinos y cómplices de Maduro no la quieren en Venezuela
2007602841582727657,2026-01-03 23:59:51+00:00,carogu03,"@LemusteleSUR Exacto ahora maduro no los respetaba los cagaba de hombre. Sin medicación, sin salud. Con exilio . Lamento informarte que este criminal de maduro vendió todo .y no seas ignorante maduro negocio con ee.uu"
2007602839661801606,2026-01-03 23:59:51+00:00,Cristop33480512,"@eltemagv @antonioguterres @ONU_es Jajaja pobre de tu hermano, te indignaste más por el orangután de Maduro que por él jajaja"
2007602839183589492,2026-01-03 23:59:50+00:00,CilloZon,@RamonRosarioEsq Ahora con que van hacer campaña en el PNP? Ya Maduro cayó
2007602839057772980,2026-01-03 23:59:50+00:00,powerfulllwitch,"ésta es la manera de decirlo, celebrar la captura de maduro, más no diciendo que venezuela ya es libre porque no lo es todavía hasta que se cambie a todo el régimen."
2007597417710170341,2026-01-03 23:38:18+00:00,MundoEConflicto,🇻🇪🇦🇷 | Venezolanos en Buenos Aires celebran la captura de Nicolás Maduro. https://t.co/FEJ0cerikp
2007602836591583456,2026-01-03 23:59:50+00:00,fesope1953,@AlejoToroAnt Va a acompañar a Maduro
2007602835580703213,2026-01-03 23:59:50+00:00,Vader8479,@5noticiasuy Que poco solidario que es el zurdo con el pueblo venezolano. Prefieren al régimen de Maduro a la libertad del pueblo venezolano.. Cuando pidan delivery acuérdense de porque están acá trabajando por una propina
2007602834544701561,2026-01-03 23:59:49+00:00,CarlosV66891390,"@ElArgen48753764 @MiguelPichetto @morenoparalavic Estoy diciendo q NOSOTROS debemos armarnos, para protegernos de una invasión gringa  Después hay q estar dispuestos a usar esas armas, no alcanza con tenerlas, el gobierno de Maduro se entregó a las fuerzas gringas sin disparar ni un solo tiro, ni siquiera levantaron una espada"
2007602831738757283,2026-01-03 23:59:49+00:00,mabscorp,@EmergenciasEc Se les fue el internet a todos esos petimetres que decían que nadie iba a celebrar la caída de Maduro.
2007602831386124379,2026-01-03 23:59:49+00:00,Cskivel85,"Si no eres venezolano o nunca has escuchado de voz a alguno de ellos platicar sobre lo que se vive allí, y en este momento estás indignado porque detuvieron a Maduro tropas de EU.  Te invito a que te calles el hocico y le agradezcas a Dios que todavía tienes libertad en tu país."
2007564948264644702,2026-01-03 21:29:17+00:00,Anacarolinatz,"Salí de Venezuela hace 7 años ya, porque me pusieron una pistola en la cabeza a plena luz del día. 19 años tenía. Iba caminando a la universidad.  Me costó entender que eso pasó básicamente porque no había consecuencias para los criminales reales, como suele ser en las dictaduras.  Me fui aterrada y sin ganas de volver. Estaba chica y me costaba separar lo que es el gobierno vs. lo que es la patria.  Afuera lo entendí. Y me dolió muchísimo darme cuenta que amaba mi país más que a nada y que el recelo venía de que nunca quise ser una exiliada. Qué sensación tan fea lo que es el despojo y más cuando ni siquiera has terminado de formar tu identidad.  Por fortuna y bendición, migré a un país que amé profundamente desde el momento en que llegué. Me acogió, me permitió crecer, lo hice mi casa y lo sigo amando. Amo su cultura, sus costumbres y sobre todo a su gente.  Pude crecer, recorrer distintas tierras, sanar y ser feliz en ese proceso. País que visito, país del que me recorro al menos tres ciudades como queriendo entender cómo funciona desde adentro. Me voló la cabeza conocer formas de pensar tan diferentes e interesantes. Ese intercambio constante me recordaba lo que somos en Venezuela y lo que no. Nos empecé a recordar con cariño y con nostalgia.   Ya cuando sané y quise volver de visita, era demasiado tarde.  Para bien o para mal, tengo nacionalidad española y venezolana. La española me permitió moverme libremente por el globo, con la excepción de que si llegaba a pisar venezuela no podía salir.   Podía visitar cualquier país, excepto el mío. Y si lo visitaba, no podía salir, a no ser que tuviera ese pasaporte venezolano que me era imposible de conseguir por distintos motivos claramente relacionados a la dictadura.  Cuento esto como un marco para decir que la intervención de hoy, de este 3 de Enero de 2026, no la celebro a la ligera. Cuando crecí no soñaba con que USA bombardeara a mi país, te lo juro.   Pero tampoco nadie te prepara para lo que es ver a una tanqueta militar aplastando los huesos de estudiantes que solo exigían derechos humanos, poder comprar comida o tener libertad.   Nadie te prepara para estar semanas sin electricidad en un país que es ridículamente rico. Nadie te prepara para lo que es llegar con una emergencia a un hospital y ver cómo se te muere un familiar en los brazos porque no hay insumos. Nadie te prepara para lo que es tener amigos presos en el centro de tortura más grande del continente, y que ese centro de tortura casualmente esté en tu país.   Una dictadura es una dictadura. Y las salidas pacificas son una utopía.  Lo intentamos todo: votar, alzar la voz, pedir ayuda, protestar, irnos, quedarnos y hasta morir por nuestra tierra.  Nada funcionó. Y la represión no solo siguió sino que tomó fuerzas. En algún punto se sintió invencible (en psicología le decimos “Indefensión aprendida”). Por eso estamos tan contentos hoy. No creemos que lo que vengan sean rosas, pero sí nos devuelve algo de esperanzas.  No tienen que venir a preocuparse por nuestro petróleo, sabemos que tenemos las reservas más grandes del planeta. Rusa y China también lo saben bien, porque nos lo han robado en las últimas dos décadas y ahí si no hemos visto a nadie diciendo nada.  Todavía nos queda mucho. Y seré cruda con esto: tampoco somos libres (aún). Pero por primera vez en 26 años está ocurriendo algo histórico en nuestro país.  Si no eres venezolano, déjanos celebrar un poquito esta sensación de alivio y de esperanza que habíamos perdido.  Si eres venezolano y estás en Venezuela, por favor cuídate mucho. Nos necesitamos a todos a salvo.  Si eres venezolano y estás fuera, te entiendo. Te abrazo fuerte y te pido nos eduquemos sobre lo que pasa para explicarlo bien. Hará falta darle visibilidad a esto para que no se tergiverse nuestra historia.  Ya la historia no es solo el pasado, sino lo que está ocurriendo hoy. Y por eso cuento la mía."
2007602830543335506,2026-01-03 23:59:48+00:00,xoxo_tidiest,@lopezobrador_ El peor presidente que tuvo México. Espero con ansias que lo que hoy le sucedió a Maduro le suceda a usted pronto.
2007602830492983707,2026-01-03 23:59:48+00:00,Roham52664557,"@WPolitics1 , Nicolás Maduro; una movida que huele a la misma política vieja de «asustar al Sur Global», o sea, humillar a los pueblos que se atreven a pensar con independencia.  Debajo de todo esto hay una capa más profunda: raptar a Maduro no habría sido posible sin la complicidad de"
2007602829578609048,2026-01-03 23:59:48+00:00,____muji69,"@clarincom Cómo hago para apostar que maduro se ""mata"" ?"
2007602829519679857,2026-01-03 23:59:48+00:00,petrohp123,@Don_Patriota1 @yiyi2606 Fue incondicional con Maduro.
